code,descr1,desc2                    
M5240     ,FUME EXHAUST SYSS   ,FUMES EXHAUST SYSTEMS ACCESSORIES (MECHANICAL)              
M5250     ,ODOUR FILTERATION   ,ODOUR FILTERATION UNITS (MECHANICAL)                        
M5251     ,ECOLOGY UNITS       ,ECOLOGY UNITS                                               
M5300     ,DUCTWORK MATERIALS  ,DUCTWORK MATERIALS (MECHANICAL)                             
M5301     ,GALVANISED DUCTWORK ,GALVANISED DUCTWORK (HVAC)                                  
M5302     ,BLACK STEEL DUCTWORK,BLACK STEEL DUCTWORK (HVAC)                                 
M5302.1   ,BLACK STEEL SHEET   ,BLACK STEEL SHEET (HVAC)                                    
M5303     ,SS DUCTWORK         ,STAINLESS STEEL DUCTWORK (MECHANICAL)                       
M5304     ,ALUM SHEET METAL    ,ALUMINIUM SHEET METAL (MECHANICAL)                          
M5305     ,PVC SHEET           ,PVC SHEET (MECHANICAL)                                      
M5306     ,COPPER/BRASS SHEET  ,COPPER/BRASS SHEET (MECHANICAL)                             
M5307     ,PIR RIGID DUCT      ,PRE-INSULATED RIGID DUCT (MECHANICAL)                       
M5308     ,GI DUCTWORK         ,GI DUCTWORK (MECHANICAL)                                    
M5309     ,FABRIC DUCTWORK     ,FABRIC DUCTWORK (MECHANICAL)                                
M5310     ,VCD ACCESS          ,VOLUME CONTROL DAMPERS ACCESSORIES (HVAC)                   
M5311     ,ACCESS DOOR & ACCESS,ACCESS DOORS AND ACCESSORIES (HVAC)                         
M5312     ,TURN. VANES & ACCESS,TURNING VANES AND ACCESSORIES (MECHANICAL)                  
M5313     ,NON-RETURN DAMPERS  ,NON-RETURN DAMPERS (MECHANICAL)                             
M5314     ,BAROMETRIC BDD      ,BAROMETRIC BACK DRAFT DAMPER (MECHANICAL)                   
M5315     ,SMOKE & FIRE DAMPERS,SMOKE & FIRE DAMPERS (HVAC)                                 
M5316     ,MOTORISED DAMPERS   ,MOTORISED DAMPERS (HVAC)                                    
M5317     ,MOTORISED FD        ,MOTORISED FIRE DAMPERS (HVAC)                               
M5318     ,MOTORISED SD        ,MOTORISED SMOKE DAMPERS (HVAC)                              
M5319     ,MOTORISED FSD       ,MOTORISED FIRE & SMOKE DAMPERS (HVAC)                       
M5320     ,SOUND ATTENUATORS   ,SOUND ATTENUATORS ACOUSTIC ENCLOSURES (HVAC)                
M5321     ,MODULATING DAMPERS  ,MODULATING DAMPERS (HVAC)                                   
M5330     ,UNDERGRD. HVAC DUCT ,UNDERGROUND HVAC DUCT AND ACCESSORIES (MECHANICAL)          
M5335     ,FLEXIBLE DUCTS      ,FLEXIBLE DUCTS (HVAC)                                       
M5336     ,PIR FLEXIBLE DUCTS  ,PREINSULATED FLEXIBLE DUCTS (MECHANICAL)                    
M5337     ,SEMI RIGID ALUM DUCT,SEMI RIGID ALUMINIUM DUCTS (MECHANICAL)                     
M5340     ,SPIRAL DUCTS & FITT ,SPIRAL DUCTS AND FITTINGS (HVAC)                            
M5341     ,SS CIRCULAR DUCTS   ,STAINLESS STEEL CIRCULAR DUCTS (HVAC)                       
M5345     ,FLEX DUCT CONNS     ,FLEXIBLE DUCT CONNECTIONS (MECHANICAL)                      
M5350     ,TEST HOLE PLUGS     ,TEST HOLE PLUGS (MECHANICAL)                                
M5355     ,DUCT SEALANT        ,DUCT SEALANT (HVAC)                                         
M5360     ,HVAC SUNDRIES       ,"HVAC SUNDRIES (BOLTS&NUTS, SCREWS, WIRE MESH,GASKET) (HVAC) "
M5361     ,POP RIVETS          ,POP RIVETS (MECHANICAL)                                     
M5362     ,ANCHORS             ,ANCHORS (MECHANICAL)                                        
M5400     ,AIR TERMINALS       ,AIR TERMINALS (MECHANICAL)                                  
M5401.1   ,AIR OUTLETS         ,"DIFFUSERS, REGISTERS, GRILLES, EXT.LOUVERS (HVAC)           "
M5401.2   ,SS AIR OUTLETS      ,STAINLESS STEEL GRILLES & DIFFUSERS (HVAC)                  
M5401.3   ,GRILLE CW HEPA FILT.,GRILLES WITH HEPA FILTERS (HVAC)                            
M5401.4   ,ACOUSTIC LOUVERS    ,ACOUSTIC LOUVERS (HVAC)                                     
M5401.5   ,SWIRL DIFFUSERS     ,SWIRL DIFFUSERS (HVAC)                                      
M5404     ,SAND TRAP LOUVERS   ,SAND TRAP LOUVERS (MECHANICAL)                              
M5405     ,DUST COLLECTORS     ,DUST COLLECTORS (MECHANICAL)                                
M5410     ,VAV BOXES           ,VARIABLE AIR VOLUME BOXES (HVAC)                            
M5420     ,HOODS               ,HOODS (MECHANICAL)                                          
M5425     ,RELIEF/INTAKE VENT  ,RELIEF/INTAKE VENTILATORS (MECHANICAL)                      
M5426     ,UC VENTILATION SYS  ,ULTRA CLEAN VENTILATION SYSTEM (HVAC)                       
M5500     ,GAS SYS (NATURAL)   ,GAS SYSTEM (NATURAL GAS) (MECHANICAL)                       
M5600     ,CO SYS              ,CO SYSTEM (MECHANICAL)                                      
M5800     ,PUMPS               ,PUMPS (MECHANICAL)                                          
M5802     ,PLUMBING WATER PUMPS,PLUMBING WATER PUMPS (PLUMBING)                             
M5803     ,BOOSTER PUMPS       ,BOOSTER PUMPS (PLUMBING)                                    
M5804     ,TRANSFER PUMPS      ,TRANSFER PUMPS (PLUMBING)                                   
M5805     ,CHILLED WATER PUMPS ,CHILLED WATER PUMPS (HVAC)                                  
M5810     ,FUEL TRANSFER PUMPS ,FUEL TRANSFER PUMPS (FUEL)                                  
M5811     ,WATER FUEL SEPARATOR,WATER FUEL SEPARATOR (MECHANICAL)                           
M5815     ,HOT WATER PUMPS     ,HOT WATER PUMPS (MECHANICAL)                                
M5816     ,CIRCULATING PUMPS   ,CIRCULATING PUMPS (MECHANICAL)                              
M5820     ,FIRE FIGHT. WTR PUMP,FIRE FIGHTING WATER PUMPS (MECHANICAL)                      
M5821     ,SUMP VALVES         ,SUMP VALVES (MECHANICAL)                                    
M5822     ,PUMP DISCHARGE VALVE,PUMP DISCHARGE MULTIFUCTION VALVES (PLUMBING)               
M5825     ,CHEMICAL DOSING PUMP,CHEMICAL DOSING PUMPS (STEAM)                               
M5826.1   ,SUBMESIBLE PUMPS    ,SUBMESIBLE PUMPS (DRAINAGE)                                 
M5826.2   ,PUMPING STATION     ,SURFACE WATER PUMPING STATION (DRAINAGE)                    
M5827     ,IRIGATION PUMPS     ,IRIGATION PUMPS (EXTERNAL)                                  
M5830     ,CONDENSATION PUMPS  ,CONDENSATION PUMPS (HVAC)                                   
M5831     ,CONDEN. REC. EQUIP. ,CONDENSATION RECOVERY TANK & PUMPS (STEAM)                  
M5832     ,PUMP SUCTION DIFF.  ,PUMP SUCTION DIFFUSER (PLUMBING)                            
M5900     ,MCH TOOLS EQUIP     ,MECHANICAL TOOLS EQUIPMENT & INSTRUMENTS (MECHANICAL)       
M5910     ,AIR COMPRESSORS     ,AIR COMPRESSORS (PLUMBING)                                  
M5915     ,MECH. INSTRUMENTS   ,MECHANICAL INSTRUMENTS (FLUE GAS ANALYZER) (STEAM)          
M5950     ,COMPRESSED AIR SYS  ,COMPRESSED AIR SYSTEM (MECHANICAL)                          
M5951     ,OXY ACCETELYNE SYS  ,OXY ACCETELYNE SYSTEM (MECHANICAL)                          
M5952     ,FUELLING & SERVICING,FUELLING AND SERVICING SYSTEMS (MECHANICAL)                 
M5955     ,HYD. LIFTS & ELEV.  ,HYDRAULIC LIFTS AND ELEVATORS (MECHANICAL)                  
M5960     ,CRANE               ,CRANE (MECHANICAL)                                          
P0000     ,PLM MTR & EQUIP.    ,PLUMBING MATERIALS AND EQUIPMENT (PLUMBING)                 
P0010     ,SUNDRIES PLUMBING   ,SUNDRIES PLUMBING (PLUMBING)                                
P0020     ,SANITARY            ,SANITARY FIXTURES AND FITTINGS (PLUMBING)                   
P0021     ,SANITARY CARRIERS   ,SANITARY FIXTURES CARRIERS (PLUMBING)                       
P0022     ,SS KITCHEN SINK     ,STAINLESS SINK KITCHEN SINK (PLUMBING)                      
P0023     ,PLUMBING TRIM FITT  ,PLUMBING TRIM FITTINGS (DRAINAGE)                           
P0030     ,ACID NEUTR. BASINS  ,ACID NEUTRALISING BASINS (PLUMBING)                         
P0040     ,ATM SILVER REC. UNIT,AUTOMATIC SILVER RECOVERY UNIT (DRAINAGE)                   
P0050     ,DRAINS              ,DRAINS (PLUMBING)                                           
P0051     ,FD & CLEANOUTS      ,FLOOR DRAINS & CLEANOUTS (DRAINAGE)                         
P0052.1   ,INTERCEPTORS        ,"GREASE, OIL & SAND INTERCEPTORS (DRAINAGE)                  "
P0052.2   ,SENDIMENT INTERTRS. ,SENDIMENT INTERCEPTORS (DRAINAGE)                           
P0053     ,SUPPLY & DRAIN      ,SUPPLY & DRAIN UNITS FOR WASHING MATERIALS (PLUMBING)       
P0054     ,TRAP PRIMERS        ,TRAP PRIMERS                                                
P0055     ,WATER FILTERS       ,WATER FILTERS (PLUMBING)                                    
P0060     ,POOL EQPT. & ACC'S  ,SWIMMING POOL PLUMBING EQPT. & ACC'S (PLUMBING)             
P0061     ,POOL CHEMICAL SYS   ,SWIMMING POOL CHEMICAL SYSTEM (PLUMBING)                    
P1000     ,FIRE FIGHTING       ,FIRE FIGHTING SYSTEMS & ACCESSORIES (SUBCONTRACT)           
P1001     ,SPRINKLER           ,SPRINKLER SYSTEMS AND ACCESSORIES (PLUMBING)                
P1002     ,FIRE STOPPING       ,FIRE STOPPING (PLUMBING)                                    
P1004     ,FIRE BLANKET        ,FIRE BLANKET (PLUMBING)                                     
P1005     ,HOSE REELS & CABINET,HOSE REELS AND CABINETS (EXTERNAL)                          
P1010     ,DRY RISER SYS       ,DRY RISER SYSTEM (PLUMBING)                                 
P1020     ,FIRE HYDRANTS       ,FIRE HYDRANTS (EXTERNAL)                                    
P1030     ,INERGEN SYS         ,INERGEN SYSTEM (PLUMBING)                                   
P1040     ,DRY CHEMICAL SYS    ,DRY CHEMICAL SYSTEM (PLUMBING)                              
P1050     ,HALON SYS           ,HALON SYSTEM (PLUMBING)                                     
P1060     ,CO2 SYSS            ,CO2 SYSTEMS (PLUMBING)                                      
P1070     ,FM200  SYS          ,FM200 FIRE PROTECTION SYSTEM (PLUMBING)                     
P1080     ,FIRE EXTINGUISHERS  ,PORTABLE FIRE EXTINGUISHERS (EXTERNAL)                      
P2000     ,WTR DISTRIB. MTR.   ,WATER DISTRIBUTION MATERIALS (PLUMBING)                     
P2001     ,PEX PIPES & FITTINGS,PEX PIPES & FITTINGS (PLUMBING)                             
P2002     ,PPR PIPES & FITTINGS,PPR PIPES & FITTINGS (PLUMBING)                             
P2003     ,FG PIPES & FITT     ,FIBREGLASS PIPES & FITTINGS (PLUMBING)                      
P2004     ,PE PIPE AND FITTING ,POLYETHYLENE PIPE AND FITTING (PLUMBING)                    
P2005.1   ,CPVC PIPES AND FITT ,CPVC PIPES AND FITTINGS (HVAC)                              
P2005.2   ,CPVC PIPES AND FITT ,CPVC PIPES AND FITTINGS (PLUMBING)                          
P2006     ,PPR PIPES & FITT    ,POLYPROPYLENE PIPES & FITTINGS (DRAINAGE)                   
P2006.1   ,CHEM RES PIPE & FITT,CHEMICAL RESISTANT PIPES AND FITTINGS (DRAINAGE)            
P2007     ,HDPE PIPES & FITT   ,LDPE/HDPE PIPES & FITTINGS (EXTERNAL)                       
P2008     ,PBU PIPES & FITT    ,POLYBUTELENE PIPES & FITTINGS (DRAINAGE)                    
P2009     ,PVC PIPES & FITT    ,SOIL & WASTE PIPES & FITTINGS (DRAINAGE)                    
P2010.1   ,UPVC PIPES AND FITT ,UPVC PIPES AND FITTINGS  (DRAINAGE)                         
P2010.2   ,UPVC PIPES AND FITT ,UPVC PIPES AND FITTINGS (EXTERNAL)                          
P2011     ,PLASTIC VALVES      ,PLASTIC VALVES (PLUMBING)                                   
P2012     ,PERFORATED PVC PIPE ,PERFORATED PVC PIPE (PLUMBING)                              
P2013     ,GRP PIPES & FITTINGS,GRP PIPES & FITTINGS (PLUMBING)                             
P2014     ,GRE PIPES & FITT    ,RTRP (GRE) PIPES & FITTINGS (HVAC)                          
P2015     ,MARKING/WARNING TAPE,MARKING/WARNING TAPE (MECHANICAL) (PLUMBING)                
P2020.1   ,CU PIPES AND FITT   ,COPPER PIPES AND FITTINGS (PLUMBING)                        
P2020.2   ,CUPIPES AND FITT    ,COPPER PIPES AND FITTINGS (EXTERNAL)                        
P2021     ,PCU PIPES AND FITT  ,PREINSULATED COPPER PIPES AND FITTINGS (PLUMBING)           
P2022     ,REFG. PIPING & ACCSS,REFRIGARATION PIPING AND ACCESSORIES (HVAC)                 
P2023     ,BRASS FITT & ACCESS ,BRASS FITTINGS & ACCESSORIES (PLUMBING)                     
P2025     ,COMPRESSION FITTINGS,COMPRESSION FITTINGS (PLUMBING)                             
P2030     ,ASBESTOS PIPE & FITT,ASBESTOS PIPES AND FITTINGS (PLUMBING)                      
P2031     ,P.ASBESTOS PIPE & FT,PREINSULATED ASBESTOS PIPES AND FITTINGS (PLUMBING)         
P2032     ,PERF ASB PIPE & FITT,PERFORATED ASBESTOS PIPES AND FITTINGS (PLUMBING)           
P2033     ,CLAY PIPES AND FITT ,CLAY PIPES AND FITTINGS (DRAINAGE)                          
P2034     ,VENT TERMINALS      ,VENT TERMINALS (PLUMBING)                                   
P2035     ,CI PIPES AND FITT   ,CAST IRON PIPES AND FITTINGS (DRAINAGE)                     
P2036     ,GI PIPES & FITTINGS ,GI PIPES & FITTINGS (DRAINAGE)                              
P2037.1   ,DI PIPES & FITT     ,DUCTILE IRON PIPES AND FITTINGS (PLUMBING)                  
P2037.3   ,DI PIPES & FITT EXT ,DUCTILE IRON PIPES AND FITTINGS (WN) (EXTERNAL)             
P2037.4   ,DI PIPES & FITT FF  ,DUCTILE IRON PIPES AND FITTINGS (FF) (EXTERNAL)             
P2037.5   ,DI PIPES & FITT IS  ,DUCTILE IRON PIPES AND FITTINGS (IS) (EXTERNAL)             
P2037.6   ,DI PIPES & FTT SWD  ,DUCTILE IRON PIPES AND FITTINGS (SWD) (EXTERNAL)            
P2037.7   ,DI PIPES & FITT FDS ,DUCTILE IRON PIPES AND FITTINGS (FDS) (EXTERNAL)            
P2040.1   ,STEEL PIPES & FITT  ,STEEL PIPES AND FITTINGS (HVAC)                             
P2040.2   ,STEEL PIPES & FITT  ,STEEL PIPES AND FITTINGS (FF)                               
P2040.3   ,STEEL PIPES & FITT  ,STEEL PIPES AND FITTINGS  (STEAM)                           
P2040.4   ,STEEL PIPES & FITT  ,STEEL PIPES AND FITTINGS (FUEL)                             
P2040.5   ,STEEL PIPE & FITT CW,STEEL PIPES AND FITTINGS (CW) (EXTERNAL)                    
P2040.6   ,STEEL PIPE & FITT ST,STEEL PIPES AND FITTINGS  (ST) (EXTERNAL)                   
P2041     ,P. STEEL PIPE & FITT,PREINSULATED STEEL PIPES AND FITTINGS (HVAC)                
P2045     ,FLASHING FOR PIPES  ,FLASHING FOR PIPES (PLUMBING)                               
P2046     ,STEAM TRAP          ,STEAM TRAP (STEAM)                                          
P2047     ,DEAERATOR           ,DEAERATOR (STEAM)                                           
P2048     ,FLASH STEAM SEPAR.  ,FLASH STEAM SEPARATOR & BLOW DOWN VESSEL (STEAM)            
P2049     ,VALVE BOX           ,VALVE BOX (PLUMBING)                                        
P2049.1   ,VALVE BOX (IS)      ,VALVE BOX (IS) (EXTERNAL)                                   
P2050.1   ,VALVES (GENERAL)    ,VALVES (GENERAL) (HVAC)                                     
P2050.10  ,VALVE (GENERAL) SCS ,VALVES (GENERAL) (SCS) (EXTERNAL)                           
P2050.2   ,VALVES (GENERAL)    ,VALVES (GENERAL) (PLUMBING)                                 
P2050.3   ,VALVES (GENERAL)    ,VALVES (GENERAL) (DRAINAGE)                                 
P2050.4   ,VALVES (GENERAL)    ,VALVES (GENERAL) (STEAM)                                    
P2050.5   ,VALVE (GENERAL) FF  ,VALVES (GENERAL) (FF) (FF)                                  
P2050.6   ,VALVES (GENERAL)    ,VALVES (GENERAL)  (FUEL)                                    
P2050.7   ,VALVE (GENERAL) WN  ,VALVES (GENERAL) (WN) (FF)                                  
P2050.8   ,VALVES GENERAL) IS  ,VALVES GENERAL) (IS) (EXTERNAL)                             
P2050.9   ,VALVE (GENERAL) CCS ,VALVES (GENERAL) (CCS) (EXTERNAL)                           
P2051     ,BALANCING VALVES    ,BALANCING VALVES (PLUMBING)                                 
P2052     ,AIR VENTS           ,AIR VENTS (MANUAL OR AUTOMATIC) (PLUMBING)                  
P2053     ,WATER METERS        ,WATER METERS (PLUMBING)                                     
P2054.1   ,PRS VALVE/STAT HVAC ,PRESSURE REDUCING VALVES/STATION (HVAC)                     
P2054.2   ,PRS VALVE/STAT PLM  ,PRESSURE REDUCING VALVES/STATION (PLUMBING)                 
P2055.1   ,STRAINERS           ,STRAINERS (HVAC)                                            
P2055.2   ,STRAINERS           ,STRAINERS (PLUMBING)                                        
P2056     ,BACKFLOW BREVENTORS ,BACKFLOW BREVENTORS (PLUMBING)                              
P2057     ,WTR HAMMER ARRESTORS,WATER HAMMER ARRESTORS (PLUMBING)                           
P2058.1   ,FPC & EXP JNT HVAC  ,FLEXIBLE PIPE CONNECTIONS & EXPANSION JOINTS (HVAC)         
P2058.2   ,FPC & EXP JNT PLM   ,FLEXIBLE PIPE CONNECTIONS & EXPANSION JOINTS (PLUMBING)     
P2059     ,HOSE BIBS           ,HOSE BIBS (PLUMBING)                                        
P2060     ,COLD WTR TANKS      ,COLD WATER STORAGE TANKS (PLUMBING)                         
P2061     ,CONCRETE WTR TANKS  ,CONCRETE WATER RESERVOIR ACCESSORIES (PLUMBING)             
P2062     ,WTR LEVEL CTRL.     ,WATER LEVEL MECHANICAL CONTROLLERS (PLUMBING)               
P2063     ,FEED WATER TANKS    ,FEED WATER TANKS (STEAM)                                    
P2064     ,DRINKING FOUNTAINS  ,DRINKING FOUNTAINS (PLUMBING)                               
P2070     ,SPRINKLER WTR TANKS ,SPRINKLER WATER TANKS (PLUMBING)                            
P2071     ,SPECIAL TANKS       ,SPECIAL TANKS (PLUMBING)                                    
P2072     ,L.P. GAS TANK       ,L.P. GAS TANK (PLUMBING)                                    
P2075     ,FUEL TANKS          ,FUEL TANKS (FUEL)                                           
P2076     ,FUEL TANK ACCESS.   ,FUEL TANK ACCESSORIES (FUEL)                                
P2077     ,FUEL TANK SUPPORT   ,FUEL TANK SUPPORT (FUEL)                                    
P2078     ,SEWAGE TREAT PLANT  ,SEWAGE TREATMENT PLANT (PLUMBING)                           
P2079     ,FUEL FILLING CABINET,FUEL FILLING CABINETS (FUEL)                                
P2080     ,CHW TREAT SYSS      ,CHILLED WATER TREATMENT SYSTEMS (HVAC)                      
P2081     ,CHW TREAT CHEMICALS ,CHILLED WATER TREATMENT CHEMICALS (HVAC)                    
P2082     ,DISINFEN. & FLASHING,"DISINFENCTION, FLASHING & WATER TREATMENT (PLUMBING)        "
P2083     ,WATER SOFTENER      ,WATER SOFTENER (PLUMBING)                                   
P2084     ,CHILLED WTR VESSELS ,CHILLED WATER VESSELS (PLUMBING)                            
P2085     ,PRES. & EXP. VESSEL ,PRESURISATION UNIT / EXPANSION VESSEL (HVAC)                
P2086     ,AIR SEPARATOR       ,AIR SEPARATOR TANK FOR CHILLED WATER (HVAC)                 
P2087     ,CHW LEAK DETECTION  ,CHILLED WATER LEAK DETECTION SYSTEM (HVAC)                  
P2088     ,CHEMICAL DOSING POT ,CHEMICAL DOSING POT (HVAC)                                  
P2089     ,AIRCRAFT WASH SYSTEM,AIRCRAFT WASH SYSTEM                                        
P2090     ,COOLING TOWERS      ,COOLING TOWERS (HVAC)                                       
P2090.1   ,COOL. TWR CLEAN. SYS,COOLING TOWER CLEANING SYSTEM (HVAC)                        
P2093.1   ,PRS/TEMP GAUGES HVAC,PRESSURE GAUGES / MANOMETERS (HVAC)                         
P2093.2   ,PRS/TEMP GAUGES PLM ,PRESSURE GAUGES / MANOMETERS (PLUMBING)                     
P2094     ,THERMOMETERS        ,THERMOMETERS (PLUMBING)                                     
P2095     ,FLOW METERS         ,FLOW METERS (PLUMBING)                                      
P2096     ,PRS & TEMP. POINTS  ,PRESSURE & TEMPERATURE POINTS (PLUMBING)                    
P2097     ,FLOW & PRS SWITCH   ,"FLOW, TAMPER & PRESSURE SWITCHES (FF)                       "
P2098.1   ,SUPPORTS HVAC       ,PIPE HANGERS / GUIDES / SUPPORTS (HVAC)                     
P2098.2   ,SUPPORTS PLM        ,PIPE HANGERS / GUIDES / SUPPORTS (PLUMBING)                 
P2098.3   ,SUPPORTS DRN        ,PIPE HANGERS / GUIDES / SUPPORTS (DRAINAGE)                 
P2098.4   ,SUPPORTS STREAM     ,PIPE HANGERS / GUIDES / SUPPORTS (STEAM)                    
P2098.5   ,SUPPORTS FF         ,PIPE HANGERS / GUIDES / SUPPORTS (FF)                       
P2099     ,MEP SUPPORTS        ,MEP SUPPORTS                                                
P3000     ,BOILERS             ,BOILERS (STEAM)                                             
P3001     ,STEAM HEADER        ,STEAM HEADER (PLUMBING)                                     
P3003     ,HEATING ELEMENT     ,HEATING ELEMENT (PLUMBING)                                  
P3005     ,TANK HEADER         ,TANK HEADER (PLUMBING)                                      
P3008     ,BOILER FEED UNIT    ,BOILER FEED UNIT (PLUMBING)                                 
P3009     ,BOILER FLUE SYS     ,BOILER FLUE SYSTEM (STEAM)                                  
P3010     ,ELECTRIC WTR HEATERS,ELECTRIC WATER HEATERS (PLUMBING)                           
P3020     ,HEAT EXCHANGER (HEX),HEAT EXCHANGER (HEX) (HVAC)                                 
P3021     ,HEAT EXCHANGER      ,HEAT EXCHANGER (STEAM)                                      
P3030     ,STORAGE CALORIFIERS ,STORAGE CALORIFIERS (PLUMBING)                              
P3040     ,SOLAR WATER HEATERS ,SOLAR WATER HEATERS                                         
P3050     ,STEAM SYS           ,STEAM SYSTEM (SUBCONTRACT)                                  
P4030     ,WTR TREAT DIALYSIS  ,WATER TREATMENT DIALYSIS (SUBCONTRACT)                      
P4040     ,HYDROTHERAPY POOL   ,HYDROTHERAPY POOL (SUBCONTRACT)                             
P4050     ,LPG GAS SYS         ,LIQUIDE PROPANE GAS SYSTEM (SUBCONTRACT)                    
P4060     ,FUEL SYS            ,FUEL SYSTEM (SUBCONTRACT)                                   
P4100.1   ,PIPE INSU (HVAC)    ,PIPE INSULATION (HVAC)                                      
P4100.10  ,PIPE INSU (SCS)     ,PIPE INSULATION (SCS) (EXTERNAL)                            
P4100.2   ,PIPE INSULATION (PL),PIPE INSULATION (PLUMBING)                                  
P4100.3   ,PIPE INSULATION (DR),PIPE INSULATION (DRAINAGE)                                  
P4100.4   ,PIPE INSULATION (ST),PIPE INSULATION (STEAM)                                     
P4100.5   ,PIPE INSULATION (FF),PIPE INSULATION (FF) (FF)                                   
P4100.6   ,PIPE INSULATION (FL),PIPE INSULATION (FUEL)                                      
P4100.7   ,PIPE INSULATION (WN),PIPE INSULATION (WN) (EXTERNAL)                             
P4100.8   ,PIPE INSULATION (IS),PIPE INSULATION (IS) (EXTERNAL)                             
P4100.9   ,PIPE INSU (CCS)     ,PIPE INSULATION (CCS) (EXTERNAL)                            
P4101     ,ELAS.THERMAL INSU   ,ELASTOMERIC THERMAL INSULATION (PLUMBING)                   
P4102     ,CLAD FOR PIPE INSU  ,CLADDING FOR PIPE INSULATION (PLUMBING)                     
P4102.1   ,ALUM SHEET CLAD     ,ALUMINIUM SHEET CLADDING (HVAC)                             
P4102.10  ,ALUM SHEET CLAD (ST),ALUMINIUM SHEET CLADDING (ST) (EXTERNAL)                    
P4102.7   ,ALUM SHEET CLAD (WN),ALUMINIUM SHEET CLADDING (WN) (EXTERNAL)                    
P4102.9   ,ALUM SHEET CLAD (CW),ALUMINIUM SHEET CLADDING (CW) (EXTERNAL)                    
P4103     ,UNICELL. PIPE INSU  ,UNICELLULAR PLASTIC PIPE INSULATION (PLUMBING)              
P4160     ,STEAM SUB PACKAGE   ,STEAM SUB-CONTRACT PACKAGE (SUBCONTRACT)                    
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
